Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
baselink,-0.00095975,2.4821E-05,0.03974,0,0,0,1.6022,0.0024598,3.7188E-07,-3.0486E-08,0.0094916,-6.393E-09,0.011737,0,0,0,0,0,0,package://sentinel/meshes/baselink.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://sentinel/meshes/baselink.STL,,mainbase-1,basecoordinatesystem,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
frontleftwheellink,5.9886E-10,-0.013862,-1.0386E-09,0,0,0,0.068893,3.3866E-05,-4.7569E-13,4.7969E-10,4.725E-05,8.7884E-13,3.3867E-05,0,0,0,0,0,0,package://sentinel/meshes/frontleftwheellink.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://sentinel/meshes/frontleftwheellink.STL,,wheelshaft-2,frontleftcoordinatesystem,frontleftaxis,frontleftjoint,continuous,0.0725,0.083539,0.0175,0,0,0,baselink,0,-1,0,100,100,,,,,,,,,,
frontlefttirelink,-9.5103E-10,-0.013217,-7.3001E-10,0,0,0,0.068893,3.3866E-05,-7.7604E-13,-1.1173E-13,4.725E-05,-6.2959E-13,3.3867E-05,0,0,0,0,0,0,package://sentinel/meshes/frontlefttirelink.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://sentinel/meshes/frontlefttirelink.STL,,wheeltire-1,frontleftcoordinatesystem,Axis_frontlefttirejoint3,frontlefttirejoint,fixed,0,0,0,0,0,0,frontleftwheellink,0,0,0,100,100,,,,,,,,,,
frontrightwheellink,-9.5103E-10,0.013862,-7.3001E-10,0,0,0,0.068893,3.3866E-05,-7.7605E-13,-1.1173E-13,4.725E-05,-6.2959E-13,3.3867E-05,0,0,0,0,0,0,package://sentinel/meshes/frontrightwheellink.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://sentinel/meshes/frontrightwheellink.STL,,wheelshaft-1,frontrightcoordinatesystem,frontrightaxis,frontrightjoint,continuous,0.0724999999999994,-0.0835394642490782,0.0175000000000016,0,0,0,baselink,0,1,0,100,100,,,,,,,,,,
frontrighttirelink,9.5103E-10,0.013217,-7.3001E-10,0,0,0,0.068893,3.3866E-05,-7.7605E-13,1.1173E-13,4.725E-05,6.2959E-13,3.3867E-05,0,0,0,0,0,0,package://sentinel/meshes/frontrighttirelink.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://sentinel/meshes/frontrighttirelink.STL,,wheeltire-4,frontrightcoordinatesystem,Axis_frontrighttirejoint3,frontrighttirejoint,fixed,0,0,0,0,0,0,frontrightwheellink,0,0,0,100,100,,,,,,,,,,
backleftwheellink,5.9886E-10,-0.013862,-1.0386E-09,0,0,0,0.068893,3.3866E-05,-4.7569E-13,4.7969E-10,4.725E-05,8.7884E-13,3.3867E-05,0,0,0,0,0,0,package://sentinel/meshes/backleftwheellink.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://sentinel/meshes/backleftwheellink.STL,,wheelshaft-3,backleftcoordinatesystem,backleftaxis,backleftjoint,continuous,-0.0725,0.083539,0.0175,0,0,0,baselink,0,-1,0,100,100,,,,,,,,,,
backlefttirelink,-7.3001E-10,-0.013862,-9.5103E-10,0,0,0,0.068893,3.3867E-05,6.2959E-13,-1.1173E-13,4.725E-05,7.7605E-13,3.3866E-05,0,0,0,0,0,0,package://sentinel/meshes/backlefttirelink.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://sentinel/meshes/backlefttirelink.STL,,wheeltire-2,backleftcoordinatesystem,Axis_backlefttirejoint3,backlefttirejoint,fixed,0,0,0,0,0,0,backleftwheellink,0,0,0,100,100,,,,,,,,,,
backrightwheellink,-9.5103E-10,0.013862,-7.3001E-10,0,0,0,0.068893,3.3866E-05,-7.7605E-13,-1.1173E-13,4.725E-05,-6.2959E-13,3.3867E-05,0,0,0,0,0,0,package://sentinel/meshes/backrightwheellink.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://sentinel/meshes/backrightwheellink.STL,,wheelshaft-4,backrightcoordinatesystem,backrightaxis,backrightjoint,continuous,-0.0725,-0.083539,0.0175,0,0,0,baselink,0,1,0,100,100,,,,,,,,,,
backrightitrelink,9.5103E-10,0.013217,-7.3001E-10,0,0,0,0.068893,3.3866E-05,-7.7605E-13,1.1173E-13,4.725E-05,6.2959E-13,3.3867E-05,0,0,0,0,0,0,package://sentinel/meshes/backrightitrelink.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://sentinel/meshes/backrightitrelink.STL,,wheeltire-3,backrightcoordinatesystem,Axis_backrighttirejoint3,backrighttirejoint,fixed,0,0,0,0,0,0,backrightwheellink,0,0,0,100,100,,,,,,,,,,
basemiddlelink,-0.00095975,2.4821E-05,0.03974,0,0,0,3.2044,0.0049195,7.4377E-07,-6.0971E-08,0.018983,-1.2786E-08,0.023475,0,0,0,0,0,0,package://sentinel/meshes/basemiddlelink.STL,0.99,1,0,1,0,0,0,0,0,0,package://sentinel/meshes/basemiddlelink.STL,,basemiddle-1;wheeltops-1,basecoordinatesystem,Axis_basemiddlejoint3,basemiddlejoint,fixed,0,0,0,0,0,0,baselink,0,0,0,100,100,,,,,,,,,,
basetoplink,-0.00095975,2.4821E-05,0.03974,0,0,0,1.6022,0.0024598,3.7188E-07,-3.0486E-08,0.0094916,-6.393E-09,0.011737,0,0,0,0,0,0,package://sentinel/meshes/basetoplink.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://sentinel/meshes/basetoplink.STL,,basetop-1,basecoordinatesystem,Axis_basetopjoint3,basetopjoint,fixed,0,0,0,0,0,0,basemiddlelink,0,0,0,100,100,,,,,,,,,,
sentinelmarkinglink,0.00045975,-0.00052482,0.039944,0,0,0,1.6022,0.0024598,3.7188E-07,3.0486E-08,0.0094916,6.393E-09,0.011737,0,0,0,0,0,0,package://sentinel/meshes/sentinelmarkinglink.STL,0.79,0.82,0.93,1,0,0,0,0,0,0,package://sentinel/meshes/sentinelmarkinglink.STL,,Sentinelmarking-2,basecoordinatesystem,,sentinelmarkingjoint,fixed,0,0,0,0,0,0,baselink,0,0,0,100,100,,,,,,,,,,
